,0
1465,py_366_face
1466,dx_366_face
1467,dy_366_face
1468,px_367_face
1469,py_367_face
1470,dx_367_face
1471,dy_367_face
1472,px_368_face
1473,py_368_face
1474,dx_368_face
1475,dy_368_face
1476,px_369_face
1477,py_369_face
1478,dx_369_face
1479,dy_369_face
1480,px_370_face
1481,py_370_face
1482,dx_370_face
1483,dy_370_face
1484,px_371_face
1485,py_371_face
1486,dx_371_face
1487,dy_371_face
1488,px_372_face
1489,py_372_face
1490,dx_372_face
1491,dy_372_face
1492,px_373_face
1493,py_373_face
1494,dx_373_face
1495,dy_373_face
1496,px_374_face
1497,py_374_face
1498,dx_374_face
1499,dy_374_face
1500,px_375_face
1501,py_375_face
1502,dx_375_face
1503,dy_375_face
1504,px_376_face
1505,py_376_face
1506,dx_376_face
1507,dy_376_face
1508,px_377_face
1509,py_377_face
1510,dx_377_face
1511,dy_377_face
1512,px_378_face
1513,py_378_face
1514,dx_378_face
1515,dy_378_face
1516,px_379_face
1517,py_379_face
1518,dx_379_face
1519,dy_379_face
1520,px_380_face
1521,py_380_face
1522,dx_380_face
1523,dy_380_face
1524,px_381_face
1525,py_381_face
1526,dx_381_face
1527,dy_381_face
1528,px_382_face
1529,py_382_face
1530,dx_382_face
1531,dy_382_face
1532,px_383_face
1533,py_383_face
1534,dx_383_face
1535,dy_383_face
1536,px_384_face
1537,py_384_face
1538,dx_384_face
1539,dy_384_face
1540,px_385_face
1541,py_385_face
1542,dx_385_face
1543,dy_385_face
1544,px_386_face
1545,py_386_face
1546,dx_386_face
1547,dy_386_face
1548,px_387_face
1549,py_387_face
1550,dx_387_face
1551,dy_387_face
1552,px_388_face
1553,py_388_face
1554,dx_388_face
1555,dy_388_face
1556,px_389_face
1557,py_389_face
1558,dx_389_face
1559,dy_389_face
1560,px_390_face
1561,py_390_face
1562,dx_390_face
1563,dy_390_face
1564,px_391_face
1565,py_391_face
1566,dx_391_face
1567,dy_391_face
1568,px_392_face
1569,py_392_face
1570,dx_392_face
1571,dy_392_face
1572,px_393_face
1573,py_393_face
1574,dx_393_face
1575,dy_393_face
